path_width, tree_width, join_sum, max_length, min_length, #automorphisms, length_diff, results_pd_600, results_pd_nauty_600, results_td_600, results_nauty_600
18, 9, 18, 12, 9, 1, 3, 0, 0, 1, 0
17, 14, 26, 20, 18, 1, 2, 0, 0, 4, 0
15, 17, 33, 38, 26, 1, 12, 8, 17, 231, 1
14, 15, 28, 36, 24, 1, 12, 3, 5, 12, 1
19, 17, 29, 25, 21, 1, 4, 1, 0, 5, 1
16, 10, 16, 22, 20, 1, 2, 0, 0, 2, 0
10, 7, 12, 19, 17, 2, 2, 0, 0, 1, 0
19, 23, 42, 84, 34, 1, 50, fail, fail, fail, fail
20, 25, 46, 72, 36, 1, 36, fail, fail, fail, fail
16, 11, 18, 17, 15, 1, 2, 0, 0, 3, 0
15, 17, 30, 52, 26, 1, 26, 46, 92, fail, fail
25, 19, 35, 17, 11, 1, 6, 1, 0, 5, 1
16, 19, 38, 56, 28, 1, 28, 136, 280, fail, fail
19, 23, 44, 44, 34, 1, 10, fail, fail, fail, 2
18, 22, 37, 64, 32, 1, 32, fail, fail, fail, fail
20, 25, 47, 46, 36, 1, 10, fail, fail, fail, 2
17, 20, 34, 74, 30, 1, 44, fail, fail, fail, fail
15, 17, 34, 64, 26, 1, 38, 67, 132, fail, fail
21, 18, 34, 24, 20, 1, 4, 1, 0, 7, 1
18, 22, 40, 42, 32, 1, 10, 49, 149, 535, 2
17, 6, 11, 7, 6, 3.12038e+31, 1, 0, 0, 0, 0
19, 18, 22, 8, 4, 2.08025e+30, 4, 0, 1, 1, 0
19, 18, 22, 11, 7, 2.97834e+51, 4, 1, 3, 3, 0
5, 5, 8, 5, 4, 3.04002e+22, 1, 0, 0, 0, 0
19, 18, 22, 9, 6, 2.98933e+40, 3, 0, 1, 1, 0
16, 11, 18, 50, 4, 24, 46, 39, 43, 3, fail
15, 11, 19, 45, 5, 48, 40, 52, 32, 3, fail
13, 12, 16, 18, 7, 2.14076e+21, 11, 5, 2, 29, 0
13, 12, 16, 14, 7, 2.14076e+21, 7, 1, 1, 5, 0
18, 15, 13, 60, 4, 4.42451e+16, 56, 575, 32, 282, fail
19, 18, 22, 14, 7, 2.97834e+51, 7, 36, 13, 130, 1
16, 15, 19, 14, 7, 4.42984e+33, 7, 5, 3, 29, 0
21, 14, 21, 11, 5, 3.98131e+07, 6, 7, 9, 10, 1
14, 14, 17, 20, 8, 4.31576e+24, 12, 22, 5, 33, 1
25, 17, 23, 13, 3, 3.48365e+08, 10, fail, fail, fail, 469
18, 17, 21, 10, 5, 2.59772e+26, 5, 1, 0, 5, 0
18, 17, 21, 12, 8, 2.12472e+43, 4, 1, 3, 3, 0
19, 18, 22, 15, 6, 2.98933e+40, 9, 183, 9, fail, 1
16, 12, 13, 65, 5, 7.96262e+07, 60, 60, 22, 60, fail
15, 15, 18, 15, 6, 8.47739e+24, 9, 14, 1, 47, 0
23, 15, 26, 11, 4, 8, 7, 30, 58, 24, 7
15, 14, 18, 14, 9, 6.2147e+27, 5, 1, 1, 4, 0
17, 16, 19, 10, 5, 7.93746e+25, 5, 1, 0, 2, 0
16, 15, 18, 15, 6, 6.71409e+27, 9, 31, 4, 304, 0
19, 18, 22, 18, 7, 2.97834e+51, 11, fail, 43, fail, 5
17, 12, 15, 11, 7, 6.42227e+22, 4, 0, 0, 1, 0
28, 12, 23, 11, 5, 5.50377e+12, 6, 10, 30, 4, 0
20, 16, 20, 12, 9, 4.21012e+38, 3, 3, 2, 1, 0
18, 14, 18, 12, 9, 5.69681e+28, 3, 1, 1, 1, 0
12, 6, 12, 6, 5, 1.82022e+31, 1, 0, 0, 1, 0
20, 17, 21, 7, 5, 2.25135e+26, 2, 0, 0, 1, 0
21, 11, 15, 13, 5, 9.91091e+17, 8, 3, 2, 6, 0
21, 11, 20, 56, 5, 4, 51, fail, fail, 6, fail
18, 10, 17, 16, 5, 7.96262e+08, 11, 48, 94, 1, 4
19, 12, 19, 48, 3, 432, 45, fail, fail, 4, fail
19, 10, 14, 16, 8, 1.04853e+22, 8, 2, 3, 2, 0
20, 11, 15, 20, 8, 1.9887e+31, 12, 44, 23, 16, 5
26, 18, 22, 13, 5, 8.94304e+51, 8, 176, 12, fail, 1
25, 16, 20, 13, 5, 6.83275e+40, 8, 58, 8, 95, 1
24, 16, 19, 14, 9, 1.92254e+49, 5, 16, 8, 10, 0
28, 15, 18, 12, 9, 2.93943e+41, 3, 3, 10, 3, 0
21, 13, 17, 13, 5, 3.3293e+25, 8, 7, 2, 22, 0
22, 11, 22, 60, 4, 276480, 56, fail, fail, 28, fail
24, 14, 18, 13, 5, 4.02846e+30, 8, 17, 3, 68, 0
22, 10, 20, 18, 5, 9.95328e+07, 13, fail, fail, 5, 396
24, 18, 15, 17, 3, 7.99297e+24, 14, fail, fail, fail, fail
20, 14, 17, 16, 8, 1.75422e+39, 8, 46, 9, 79, 1
34, 18, 34, 12, 6, 5.2034e+51, 6, 116, 485, 109, 9
20, 14, 17, 20, 8, 3.18948e+37, 12, 549, 41, 287, 4
20, 11, 15, 16, 8, 1.9887e+31, 8, 4, 5, 6, 0
23, 18, 8, 13, 5, 1.37388e+38, 8, 91, 9, 534, 1
26, 17, 19, 68, 4, 2.50823e+11, 64, fail, fail, fail, fail
23, 16, 16, 68, 4, 1.40169e+20, 64, fail, fail, fail, fail
19, 14, 17, 14, 9, 1.07167e+38, 5, 5, 6, 3, 0
24, 17, 21, 20, 8, 1.02717e+62, 12, fail, 391, fail, 26
18, 18, 0, 4, 2, 1.74357e+11, 2, 0, 0, 0, 0
17, 16, 0, 5, 2, 9.58003e+08, 3, 0, 0, 0, 0
18, 18, 0, 5, 2, 1.74357e+11, 3, 0, 0, 0, 0
13, 12, 0, 4, 2, 80640, 2, 0, 0, 0, 0
18, 18, 0, 3, 2, 1.74357e+11, 1, 0, 0, 0, 0
13, 12, 0, 3, 2, 40320, 1, 0, 0, 0, 0
15, 15, 0, 16, 2, 2.90304e+07, 14, 15, 0, 11, 0
20, 19, 0, 3, 2, 6.97426e+11, 1, 0, 0, 0, 0
20, 19, 0, 5, 2, 6.97426e+11, 3, 0, 0, 0, 0
18, 18, 0, 19, 2, 1.74357e+11, 17, fail, 0, fail, 0
49, 5, 10, 61, 58, 4, 3, 8, 131, 4, 0
337, 30, 59, 16, 10, 4.68117e+71, 6, fail, fail, 71, 24
263, 31, 52, 18, 11, 6.18458e+47, 7, fail, fail, fail, 23
199, 85, 154, 16, 9, 7.82758e+11, 7, fail, fail, fail, fail
97, 23, 44, 13, 7, 1.036e+181, 6, 512, fail, 29, 12
19, 7, 14, 8, 6, 1, 2, 0, 0, 0, 0
36, 13, 25, 12, 6, 1, 6, 0, 0, 1, 0
23, 7, 14, 8, 5, 2, 3, 0, 0, 0, 0
30, 10, 20, 9, 6, 1, 3, 0, 0, 1, 0
29, 9, 17, 9, 7, 1, 2, 0, 0, 1, 0
29, 10, 20, 11, 8, 1, 3, 0, 0, 0, 0
45, 14, 28, 17, 7, 1, 10, 9, 71, 2, 0
47, 13, 25, 12, 8, 1, 4, 0, 0, 1, 0
40, 13, 22, 17, 8, 1, 9, 2, 14, 1, 0
41, 14, 26, 15, 6, 1, 9, 2, 17, 1, 0
